"category","id","question","answer1","answer2","answer3","answer4","correct","explanation"
"飛行規則","001","有視界飛行方式による飛行で、雲から離れて飛行しなければならない距離で正しいものはどれか？","300m","600m","1000m","1500m","1","有視界飛行方式による飛行では、雲から少なくとも水平距離で600m、垂直距離で150m離れて飛行する必要があります。これは航空法施行規則第5条の4に規定されています。"
"飛行規則","002","有視界飛行方式で飛行中、視程が1,500m未満となった場合の対応として正しいものはどれか？","そのまま飛行を続ける","最寄りの空港に着陸する","管制機関に通報する","計器飛行方式に切り替える","1","有視界飛行方式で飛行中に視程が1,500m未満となった場合、安全に着陸できる最寄りの空港に着陸しなければなりません。これは航空法第96条第1項に基づいています。"
"飛行規則","003","有視界飛行方式による飛行で、地表又は水面を引き続き視認できない状態で正しいものはどれか？","10秒間","30秒間","1分間","5分間","2","有視界飛行方式による飛行では、30秒間以上継続して地表又は水面を視認できない状態での飛行は禁止されています。これは航空法施行規則第5条の4第2項に規定されています。"
"飛行規則","004","有視界飛行方式による夜間の飛行で、灯火を持つ飛行場から離陸する際の視程の最低値はどれか？","1,500m","3,000m","5,000m","8,000m","2","有視界飛行方式による夜間の飛行で、灯火を持つ飛行場から離陸する場合、視程は少なくとも5,000m必要です。これは航空法施行規則第5条の4第3項に規定されています。"
"飛行規則","005","有視界飛行方式による飛行で、管制圏内を飛行する場合の最低気象条件として正しいものはどれか？","地上視程1,500m以上","地上視程3,000m以上","地上視程5,000m以上","雲高300m以上","1","有視界飛行方式による管制圏内の飛行では、地上視程が3,000m以上であることが最低気象条件の一つです。これは航空法施行規則第198条の4に規定されています。"
"飛行規則","006","有視界飛行方式による飛行で、管制圏外を飛行する場合の最低気象条件として正しいものはどれか？","視程1,500m以上","視程3,000m以上","視程5,000m以上","雲高300m以上","2","有視界飛行方式による管制圏外の飛行では、視程が5,000m以上であることが最低気象条件の一つです。これは航空法施行規則第5条の4第3項に規定されています。"
"飛行規則","007","有視界飛行方式による飛行で、巡航高度を決定する際の基準となる方向は？","真方位","磁方位","コンパス方位","相対方位","1","有視界飛行方式による飛行で、巡航高度を決定する際は磁方位を基準とします。これは航空法施行規則第177条に規定されています。"
"飛行規則","008","有視界飛行方式による飛行で、3,000ft以上の高度で飛行する場合の最低気象条件として正しいものはどれか？","雲から300m以上離れていること","雲から600m以上離れていること","雲から1,000m以上離れていること","雲から1,500m以上離れていること","1","有視界飛行方式による3,000ft以上の高度での飛行では、雲から水平距離で600m以上、垂直距離で150m以上離れていることが必要です。これは航空法施行規則第5条の4第1項に規定されています。"
"飛行規則","009","有視界飛行方式による夜間の飛行で、灯火のない飛行場に着陸する際の視程の最低値はどれか？","1,500m","3,000m","5,000m","8,000m","3","有視界飛行方式による夜間の飛行で、灯火のない飛行場に着陸する場合、視程は少なくとも8,000m必要です。これは航空法施行規則第5条の4第3項に規定されています。"
"飛行規則","010","有視界飛行方式による飛行で、管制圏内を飛行する場合の雲高の最低値はどれか？","150m","300m","450m","600m","2","有視界飛行方式による管制圏内の飛行では、雲高が300m以上であることが最低気象条件の一つです。これは航空法施行規則第198条の4に規定されています。"
"飛行規則","011","有視界飛行方式による飛行で、管制圏外を飛行する場合の雲量の制限として正しいものはどれか？","雲量5/8以下","雲量6/8以下","雲量7/8以下","制限なし","1","有視界飛行方式による管制圏外の飛行では、雲量が5/8以下であることが最低気象条件の一つです。これは航空法施行規則第5条の4第3項に規定されています。"
